(0, 'C', 0, 0, 'R', 0) :  0.0 ==> 
(1, 'C', 0, 0, 'R', 25) :  -129.0560795273071 ==> DOWN
(2, 'C', 0, 0, 'R', 50) :  -194.0125060170329 ==> DOWN
(3, 'C', 0, 0, 'R', 75) :  -236.80355363733912 ==> DOWN
(4, 'C', 0, 0, 'R', 100) :  -246.68556379110703 ==> RIGHT
(5, 'C', 0, 0, 'D', 0) :  0.0 ==> 
(6, 'C', 0, 0, 'D', 25) :  -68.35419061848336 ==> RIGHT
(7, 'C', 0, 0, 'D', 50) :  -105.69569277588997 ==> RIGHT
(8, 'C', 0, 0, 'D', 75) :  -179.87842510713972 ==> RIGHT
(9, 'C', 0, 0, 'D', 100) :  -202.6418110446727 ==> RIGHT
(10, 'C', 0, 1, 'R', 0) :  0.0 ==> 
(11, 'C', 0, 1, 'R', 25) :  -102.50826463861922 ==> UP
(12, 'C', 0, 1, 'R', 50) :  -190.08658815207895 ==> DOWN
(13, 'C', 0, 1, 'R', 75) :  -223.77983086757564 ==> UP
(14, 'C', 0, 1, 'R', 100) :  -246.01697166254087 ==> RIGHT
(15, 'C', 0, 1, 'D', 0) :  0.0 ==> 
(16, 'C', 0, 1, 'D', 25) :  3.118300136405331 ==> RIGHT
(17, 'C', 0, 1, 'D', 50) :  -100.51740325364105 ==> RIGHT
(18, 'C', 0, 1, 'D', 75) :  -142.39307598658922 ==> RIGHT
(19, 'C', 0, 1, 'D', 100) :  -199.60518480456764 ==> RIGHT
(20, 'C', 0, 2, 'R', 0) :  0.0 ==> 
(21, 'C', 0, 2, 'R', 25) :  -95.89640608326262 ==> SHOOT
(22, 'C', 0, 2, 'R', 50) :  -168.8476506240811 ==> UP
(23, 'C', 0, 2, 'R', 75) :  -220.59990294602807 ==> DOWN
(24, 'C', 0, 2, 'R', 100) :  -236.027224909776 ==> UP
(25, 'C', 0, 2, 'D', 0) :  0.0 ==> 
(26, 'C', 0, 2, 'D', 25) :  9.372579059819655 ==> RIGHT
(27, 'C', 0, 2, 'D', 50) :  -43.73476022081066 ==> RIGHT
(28, 'C', 0, 2, 'D', 75) :  -134.85248937895034 ==> RIGHT
(29, 'C', 0, 2, 'D', 100) :  -172.15002176354554 ==> RIGHT
(30, 'C', 0, 3, 'R', 0) :  0.0 ==> 
(31, 'C', 0, 3, 'R', 25) :  -92.8791804777744 ==> LEFT
(32, 'C', 0, 3, 'R', 50) :  -165.08717010415452 ==> LEFT
(33, 'C', 0, 3, 'R', 75) :  -204.0685267129662 ==> UP
(34, 'C', 0, 3, 'R', 100) :  -233.7589955130726 ==> UP
(35, 'C', 0, 3, 'D', 0) :  0.0 ==> 
(36, 'C', 0, 3, 'D', 25) :  9.899503718808653 ==> RIGHT
(37, 'C', 0, 3, 'D', 50) :  -34.2066151347589 ==> RIGHT
(38, 'C', 0, 3, 'D', 75) :  -91.13647285279072 ==> RIGHT
(39, 'C', 0, 3, 'D', 100) :  -165.76677680018037 ==> RIGHT
(40, 'C', 1, 0, 'R', 0) :  0.0 ==> 
(41, 'C', 1, 0, 'R', 25) :  -106.46230173124145 ==> UP
(42, 'C', 1, 0, 'R', 50) :  -181.68047770527056 ==> UP
(43, 'C', 1, 0, 'R', 75) :  -221.37328707493435 ==> UP
(44, 'C', 1, 0, 'R', 100) :  -241.94150432628757 ==> UP
(45, 'C', 1, 0, 'D', 0) :  0.0 ==> 
(46, 'C', 1, 0, 'D', 25) :  -47.38968814951576 ==> UP
(47, 'C', 1, 0, 'D', 50) :  -105.69569277588997 ==> RIGHT
(48, 'C', 1, 0, 'D', 75) :  -179.4298387901631 ==> UP
(49, 'C', 1, 0, 'D', 100) :  -202.6418110446727 ==> RIGHT
(50, 'C', 1, 1, 'R', 0) :  0.0 ==> 
(51, 'C', 1, 1, 'R', 25) :  -96.88392665835343 ==> SHOOT
(52, 'C', 1, 1, 'R', 50) :  -169.26250119771896 ==> UP
(53, 'C', 1, 1, 'R', 75) :  -213.56633497709066 ==> UP
(54, 'C', 1, 1, 'R', 100) :  -236.00965490722027 ==> UP
(55, 'C', 1, 1, 'D', 0) :  0.0 ==> 
(56, 'C', 1, 1, 'D', 25) :  3.118300136405331 ==> RIGHT
(57, 'C', 1, 1, 'D', 50) :  -94.61068408095524 ==> UP
(58, 'C', 1, 1, 'D', 75) :  -142.39307598658922 ==> RIGHT
(59, 'C', 1, 1, 'D', 100) :  -199.60518480456764 ==> RIGHT
(60, 'C', 1, 2, 'R', 0) :  0.0 ==> 
(61, 'C', 1, 2, 'R', 25) :  -94.49172745528651 ==> SHOOT
(62, 'C', 1, 2, 'R', 50) :  -165.63857160497093 ==> UP
(63, 'C', 1, 2, 'R', 75) :  -205.1876275353422 ==> UP
(64, 'C', 1, 2, 'R', 100) :  -234.53915580875184 ==> UP
(65, 'C', 1, 2, 'D', 0) :  0.0 ==> 
(66, 'C', 1, 2, 'D', 25) :  9.372579059819655 ==> RIGHT
(67, 'C', 1, 2, 'D', 50) :  -43.73476022081066 ==> RIGHT
(68, 'C', 1, 2, 'D', 75) :  -134.85248937895034 ==> RIGHT
(69, 'C', 1, 2, 'D', 100) :  -172.15002176354554 ==> RIGHT
(70, 'C', 1, 3, 'R', 0) :  0.0 ==> 
(71, 'C', 1, 3, 'R', 25) :  -92.6115279269311 ==> LEFT
(72, 'C', 1, 3, 'R', 50) :  -164.57012114242514 ==> LEFT
(73, 'C', 1, 3, 'R', 75) :  -204.0685267129662 ==> UP
(74, 'C', 1, 3, 'R', 100) :  -233.7589955130726 ==> UP
(75, 'C', 1, 3, 'D', 0) :  0.0 ==> 
(76, 'C', 1, 3, 'D', 25) :  9.899503718808653 ==> RIGHT
(77, 'C', 1, 3, 'D', 50) :  -34.2066151347589 ==> RIGHT
(78, 'C', 1, 3, 'D', 75) :  -91.13647285279072 ==> RIGHT
(79, 'C', 1, 3, 'D', 100) :  -165.76677680018037 ==> RIGHT
(80, 'C', 2, 0, 'R', 0) :  0.0 ==> 
(81, 'C', 2, 0, 'R', 25) :  -102.98338144572362 ==> UP
(82, 'C', 2, 0, 'R', 50) :  -163.63863918311083 ==> UP
(83, 'C', 2, 0, 'R', 75) :  -212.8516323121671 ==> UP
(84, 'C', 2, 0, 'R', 100) :  -237.637728796082 ==> UP
(85, 'C', 2, 0, 'D', 0) :  0.0 ==> 
(86, 'C', 2, 0, 'D', 25) :  -46.61713582747216 ==> UP
(87, 'C', 2, 0, 'D', 50) :  -99.77290234844203 ==> UP
(88, 'C', 2, 0, 'D', 75) :  -164.2942312153797 ==> UP
(89, 'C', 2, 0, 'D', 100) :  -202.64181060734472 ==> RIGHT
(90, 'C', 2, 1, 'R', 0) :  0.0 ==> 
(91, 'C', 2, 1, 'R', 25) :  -93.05663831135162 ==> SHOOT
(92, 'C', 2, 1, 'R', 50) :  -160.88279258159704 ==> UP
(93, 'C', 2, 1, 'R', 75) :  -207.0013755532038 ==> UP
(94, 'C', 2, 1, 'R', 100) :  -235.61121287222667 ==> UP
(95, 'C', 2, 1, 'D', 0) :  0.0 ==> 
(96, 'C', 2, 1, 'D', 25) :  3.1183001693295562 ==> RIGHT
(97, 'C', 2, 1, 'D', 50) :  -93.62959256219668 ==> UP
(98, 'C', 2, 1, 'D', 75) :  -142.39307570150976 ==> RIGHT
(99, 'C', 2, 1, 'D', 100) :  -199.60518439801353 ==> RIGHT
(100, 'C', 2, 2, 'R', 0) :  0.0 ==> 
(101, 'C', 2, 2, 'R', 25) :  -90.57743448281698 ==> SHOOT
(102, 'C', 2, 2, 'R', 50) :  -158.04597738036145 ==> UP
(103, 'C', 2, 2, 'R', 75) :  -205.18762726753843 ==> UP
(104, 'C', 2, 2, 'R', 100) :  -234.5391555362485 ==> UP
(105, 'C', 2, 2, 'D', 0) :  0.0 ==> 
(106, 'C', 2, 2, 'D', 25) :  9.372579084440561 ==> RIGHT
(107, 'C', 2, 2, 'D', 50) :  -43.73476012871764 ==> RIGHT
(108, 'C', 2, 2, 'D', 75) :  -134.8524891402746 ==> RIGHT
(109, 'C', 2, 2, 'D', 100) :  -172.15002140687156 ==> RIGHT
(110, 'C', 2, 3, 'R', 0) :  0.0 ==> 
(111, 'C', 2, 3, 'R', 25) :  -89.47096642405594 ==> LEFT
(112, 'C', 2, 3, 'R', 50) :  -156.46708568745007 ==> LEFT
(113, 'C', 2, 3, 'R', 75) :  -204.0685263263273 ==> UP
(114, 'C', 2, 3, 'R', 100) :  -233.75899504949624 ==> UP
(115, 'C', 2, 3, 'D', 0) :  0.0 ==> 
(116, 'C', 2, 3, 'D', 25) :  9.899503742665926 ==> RIGHT
(117, 'C', 2, 3, 'D', 50) :  -34.2066150568129 ==> RIGHT
(118, 'C', 2, 3, 'D', 75) :  -91.136472683834 ==> RIGHT
(119, 'C', 2, 3, 'D', 100) :  -165.76677649002622 ==> RIGHT
(120, 'N', 0, 0, 'R', 0) :  0.0 ==> 
(121, 'N', 0, 0, 'R', 25) :  -101.44185936533236 ==> STAY
(122, 'N', 0, 0, 'R', 50) :  -145.09701694804647 ==> STAY
(123, 'N', 0, 0, 'R', 75) :  -212.54931014584722 ==> STAY
(124, 'N', 0, 0, 'R', 100) :  -231.82318506310204 ==> DOWN
(125, 'N', 0, 0, 'D', 0) :  0.0 ==> 
(126, 'N', 0, 0, 'D', 25) :  -87.10506713125349 ==> DOWN
(127, 'N', 0, 0, 'D', 50) :  -129.10465156733954 ==> DOWN
(128, 'N', 0, 0, 'D', 75) :  -197.89305279490975 ==> DOWN
(129, 'N', 0, 0, 'D', 100) :  -218.4494353170141 ==> DOWN
(130, 'N', 0, 1, 'R', 0) :  0.0 ==> 
(131, 'N', 0, 1, 'R', 25) :  -37.4304475308838 ==> STAY
(132, 'N', 0, 1, 'R', 50) :  -139.80717608442546 ==> STAY
(133, 'N', 0, 1, 'R', 75) :  -180.91777639903185 ==> STAY
(134, 'N', 0, 1, 'R', 100) :  -229.89014475886444 ==> DOWN
(135, 'N', 0, 1, 'D', 0) :  0.0 ==> 
(136, 'N', 0, 1, 'D', 25) :  -23.322899414141855 ==> DOWN
(137, 'N', 0, 1, 'D', 50) :  -124.14346136975261 ==> DOWN
(138, 'N', 0, 1, 'D', 75) :  -164.59389689821217 ==> DOWN
(139, 'N', 0, 1, 'D', 100) :  -215.81755803535233 ==> DOWN
(140, 'N', 0, 2, 'R', 0) :  0.0 ==> 
(141, 'N', 0, 2, 'R', 25) :  -31.490894711778502 ==> STAY
(142, 'N', 0, 2, 'R', 50) :  -90.72437117313412 ==> STAY
(143, 'N', 0, 2, 'R', 75) :  -174.2757744341473 ==> STAY
(144, 'N', 0, 2, 'R', 100) :  -207.0249116710143 ==> STAY
(145, 'N', 0, 2, 'D', 0) :  0.0 ==> 
(146, 'N', 0, 2, 'D', 25) :  -17.013209970938686 ==> DOWN
(147, 'N', 0, 2, 'D', 50) :  -73.4454839484625 ==> DOWN
(148, 'N', 0, 2, 'D', 75) :  -157.80029804217781 ==> DOWN
(149, 'N', 0, 2, 'D', 100) :  -191.35189028366275 ==> DOWN
(150, 'N', 0, 3, 'R', 0) :  0.0 ==> 
(151, 'N', 0, 3, 'R', 25) :  -30.691296411253116 ==> STAY
(152, 'N', 0, 3, 'R', 50) :  -82.63020161276661 ==> STAY
(153, 'N', 0, 3, 'R', 75) :  -137.2217727635893 ==> STAY
(154, 'N', 0, 3, 'R', 100) :  -201.754780257496 ==> STAY
(155, 'N', 0, 3, 'D', 0) :  0.0 ==> 
(156, 'N', 0, 3, 'D', 25) :  -16.063806009219093 ==> DOWN
(157, 'N', 0, 3, 'D', 50) :  -64.90496259832507 ==> DOWN
(158, 'N', 0, 3, 'D', 75) :  -118.73821901297454 ==> DOWN
(159, 'N', 0, 3, 'D', 100) :  -185.6729317178703 ==> DOWN
(160, 'N', 1, 0, 'R', 0) :  0.0 ==> 
