(0, 'C', 0, 0, 'R', 0) :  0.0 ==> 
(1, 'C', 0, 0, 'R', 25) :  -241.87612663958447 ==> RIGHT
(2, 'C', 0, 0, 'R', 50) :  -347.74309052491105 ==> UP
(3, 'C', 0, 0, 'R', 75) :  -414.17771047847555 ==> RIGHT
(4, 'C', 0, 0, 'R', 100) :  -423.3719116920166 ==> RIGHT
(5, 'C', 0, 0, 'D', 0) :  0.0 ==> 
(6, 'C', 0, 0, 'D', 25) :  -149.36461819960982 ==> RIGHT
(7, 'C', 0, 0, 'D', 50) :  -210.6525907287123 ==> RIGHT
(8, 'C', 0, 0, 'D', 75) :  -332.02613227457505 ==> RIGHT
(9, 'C', 0, 0, 'D', 100) :  -369.3873137291949 ==> RIGHT
(10, 'C', 0, 1, 'R', 0) :  0.0 ==> 
(11, 'C', 0, 1, 'R', 25) :  -193.1294972753557 ==> SHOOT
(12, 'C', 0, 1, 'R', 50) :  -343.03127485781494 ==> UP
(13, 'C', 0, 1, 'R', 75) :  -395.77090298722453 ==> UP
(14, 'C', 0, 1, 'R', 100) :  -422.1793444329455 ==> RIGHT
(15, 'C', 0, 1, 'D', 0) :  0.0 ==> 
(16, 'C', 0, 1, 'D', 25) :  -32.00619969566317 ==> RIGHT
(17, 'C', 0, 1, 'D', 50) :  -202.16835627469692 ==> RIGHT
(18, 'C', 0, 1, 'D', 75) :  -270.8486812714102 ==> RIGHT
(19, 'C', 0, 1, 'D', 100) :  -364.30429145489774 ==> RIGHT
(20, 'C', 0, 2, 'R', 0) :  0.0 ==> 
(21, 'C', 0, 2, 'R', 25) :  -180.95502841737476 ==> SHOOT
(22, 'C', 0, 2, 'R', 50) :  -305.9636888936766 ==> UP
(23, 'C', 0, 2, 'R', 75) :  -390.56316055477987 ==> UP
(24, 'C', 0, 2, 'R', 100) :  -415.75180446869535 ==> UP
(25, 'C', 0, 2, 'D', 0) :  0.0 ==> 
(26, 'C', 0, 2, 'D', 25) :  -21.777032715958057 ==> RIGHT
(27, 'C', 0, 2, 'D', 50) :  -109.28459068566858 ==> RIGHT
(28, 'C', 0, 2, 'D', 75) :  -258.41454343195295 ==> RIGHT
(29, 'C', 0, 2, 'D', 100) :  -319.54203328744916 ==> RIGHT
(30, 'C', 0, 3, 'R', 0) :  0.0 ==> 
(31, 'C', 0, 3, 'R', 25) :  -177.9144553166606 ==> SHOOT
(32, 'C', 0, 3, 'R', 50) :  -300.0853841558433 ==> UP
(33, 'C', 0, 3, 'R', 75) :  -363.5625362371758 ==> UP
(34, 'C', 0, 3, 'R', 100) :  -412.02849909244844 ==> UP
(35, 'C', 0, 3, 'D', 0) :  0.0 ==> 
(36, 'C', 0, 3, 'D', 25) :  -20.917066152536606 ==> RIGHT
(37, 'C', 0, 3, 'D', 50) :  -93.73240428585325 ==> RIGHT
(38, 'C', 0, 3, 'D', 75) :  -187.0363789182407 ==> RIGHT
(39, 'C', 0, 3, 'D', 100) :  -309.0534780841414 ==> RIGHT
(40, 'C', 1, 0, 'R', 0) :  0.0 ==> 
(41, 'C', 1, 0, 'R', 25) :  -204.1387241762879 ==> UP
(42, 'C', 1, 0, 'R', 50) :  -328.09671454825485 ==> UP
(43, 'C', 1, 0, 'R', 75) :  -392.55235536659046 ==> UP
(44, 'C', 1, 0, 'R', 100) :  -423.3719116920166 ==> RIGHT
(45, 'C', 1, 0, 'D', 0) :  0.0 ==> 
(46, 'C', 1, 0, 'D', 25) :  -122.61513267074547 ==> UP
(47, 'C', 1, 0, 'D', 50) :  -210.6525907287123 ==> RIGHT
(48, 'C', 1, 0, 'D', 75) :  -332.02613227457505 ==> RIGHT
(49, 'C', 1, 0, 'D', 100) :  -369.3873137291949 ==> RIGHT
(50, 'C', 1, 1, 'R', 0) :  0.0 ==> 
(51, 'C', 1, 1, 'R', 25) :  -183.7045834992677 ==> SHOOT
(52, 'C', 1, 1, 'R', 50) :  -307.64957022781886 ==> UP
(53, 'C', 1, 1, 'R', 75) :  -379.82715850719205 ==> UP
(54, 'C', 1, 1, 'R', 100) :  -416.4816321667041 ==> UP
(55, 'C', 1, 1, 'D', 0) :  0.0 ==> 
(56, 'C', 1, 1, 'D', 25) :  -32.00619969566317 ==> RIGHT
(57, 'C', 1, 1, 'D', 50) :  -200.92642556062623 ==> UP
(58, 'C', 1, 1, 'D', 75) :  -270.8486812714102 ==> RIGHT
(59, 'C', 1, 1, 'D', 100) :  -364.30429145489774 ==> RIGHT
(60, 'C', 1, 2, 'R', 0) :  0.0 ==> 
(61, 'C', 1, 2, 'R', 25) :  -178.60115687879198 ==> SHOOT
(62, 'C', 1, 2, 'R', 50) :  -301.8581376523263 ==> UP
(63, 'C', 1, 2, 'R', 75) :  -366.1145472490497 ==> UP
(64, 'C', 1, 2, 'R', 100) :  -414.08815667532184 ==> UP
(65, 'C', 1, 2, 'D', 0) :  0.0 ==> 
(66, 'C', 1, 2, 'D', 25) :  -21.777032715958057 ==> RIGHT
(67, 'C', 1, 2, 'D', 50) :  -109.28459068566858 ==> RIGHT
(68, 'C', 1, 2, 'D', 75) :  -258.41454343195295 ==> RIGHT
(69, 'C', 1, 2, 'D', 100) :  -319.54203328744916 ==> RIGHT
(70, 'C', 1, 3, 'R', 0) :  0.0 ==> 
(71, 'C', 1, 3, 'R', 25) :  -177.32657608402985 ==> SHOOT
(72, 'C', 1, 3, 'R', 50) :  -300.0853841558433 ==> UP
(73, 'C', 1, 3, 'R', 75) :  -363.5625362371758 ==> UP
(74, 'C', 1, 3, 'R', 100) :  -412.02849909244844 ==> UP
(75, 'C', 1, 3, 'D', 0) :  0.0 ==> 
(76, 'C', 1, 3, 'D', 25) :  -20.917066152536606 ==> RIGHT
(77, 'C', 1, 3, 'D', 50) :  -93.73240428585325 ==> RIGHT
(78, 'C', 1, 3, 'D', 75) :  -187.0363789182407 ==> RIGHT
(79, 'C', 1, 3, 'D', 100) :  -309.0534780841414 ==> RIGHT
(80, 'C', 2, 0, 'R', 0) :  0.0 ==> 
(81, 'C', 2, 0, 'R', 25) :  -203.43447767061235 ==> UP
(82, 'C', 2, 0, 'R', 50) :  -304.5122058984189 ==> UP
(83, 'C', 2, 0, 'R', 75) :  -379.73454066503047 ==> UP
(84, 'C', 2, 0, 'R', 100) :  -419.9581598320951 ==> UP
(85, 'C', 2, 0, 'D', 0) :  0.0 ==> 
(86, 'C', 2, 0, 'D', 25) :  -121.49377096099639 ==> UP
(87, 'C', 2, 0, 'D', 50) :  -210.6525907287123 ==> RIGHT
(88, 'C', 2, 0, 'D', 75) :  -317.62097674431334 ==> UP
(89, 'C', 2, 0, 'D', 100) :  -369.3873137291949 ==> RIGHT
(90, 'C', 2, 1, 'R', 0) :  0.0 ==> 
(91, 'C', 2, 1, 'R', 25) :  -183.52869802025145 ==> SHOOT
(92, 'C', 2, 1, 'R', 50) :  -299.3549038822448 ==> UP
(93, 'C', 2, 1, 'R', 75) :  -369.7698313791123 ==> UP
(94, 'C', 2, 1, 'R', 100) :  -416.0361777458707 ==> UP
(95, 'C', 2, 1, 'D', 0) :  0.0 ==> 
(96, 'C', 2, 1, 'D', 25) :  -32.00619969566317 ==> RIGHT
(97, 'C', 2, 1, 'D', 50) :  -199.64120486573984 ==> UP
(98, 'C', 2, 1, 'D', 75) :  -270.8486812714102 ==> RIGHT
(99, 'C', 2, 1, 'D', 100) :  -364.30429145489774 ==> RIGHT
(100, 'C', 2, 2, 'R', 0) :  0.0 ==> 
(101, 'C', 2, 2, 'R', 25) :  -178.55722950373723 ==> SHOOT
(102, 'C', 2, 2, 'R', 50) :  -294.662766553541 ==> UP
(103, 'C', 2, 2, 'R', 75) :  -366.1145472490497 ==> UP
(104, 'C', 2, 2, 'R', 100) :  -414.08815667532184 ==> UP
